Cu_Ka SpectName
1.75 67
1.47 74
1.39 83
2.46 91
2.2 99
0.89 106
1.01 116
0.79 733
0.66 744
1.05 769
0.95 784
1.35 811
1.35 822
1.15 831
0.86 947
0.84 968
0.91 971
0.9 1000
0.89 1010
1.01 1101
0.86 1125
1.23 1136
1.31 1181
0.91 1012
1.1 1028
1.08 1035
0.97 1037
1.36 1052
1.1 1055
0.91 1068
0.99 1091
0.96 1095
1.03 1117
1.78 1158
1.37 1163
1.4 1164
1.39 1176
1.52 1187
1.09 1966
0.98 1969
1.54 2132
1.31 2137
0.96 2223
1.01 2230
0.98 2269
1.04 2273
0.94 2390
1.17 2392
1.01 2419
1.01 2422
0.92 2459
1.02 2464
0.9 3025
0.99 3027
0.81 3047
0.8 3052
0.87 3074
0.89 3077
0.78 3182
0.68 3187
0.75 3207
0.77 3231
0.89 3235
0.81 3244
0.87 3254
0.86 3257
0.83 3278
0.8 3375
0.88 3378
0.8 3398
0.88 3402
1.02 3840
1.01 3845
1.01 3865
0.78 3867
0.83 3887
0.94 3892
0.67 4495
0.96 4514
0.71 4535
0.76 4542
0.79 4561
0.85 4584
0.99 4588
0.9 4679
0.74 5011
0.67 5373
0.68 5377
0.7 5394
0.6 5401
0.57 5446
0.57 5450
0.86 5466
0.76 5556
0.73 5573
0.8 5586
0.87 5589
0.61 5604
0.59 5620
0.68 5622
0.52 5775
0.59 5779
0.52 5791
0.54 5795
0.62 5807
0.6 5811
0.65 5881
0.65 5883
0.6 5893
0.6 5909
0.92 5913
0.69 6272
0.74 6275
0.71 6286
0.64 6293
0.75 6381
1.2 6592
0.71 6766
0.62 6781
0.61 6784
1.21 6804
0.58 6849
0.64 6850
0.91 6864
1.24 6868
1.11 6878
0.86 6886
0.74 7065
0.73 7070
0.69 7179
0.84 7210
0.77 7215
1.05 7292
1.02 7297
0.79 7307
0.81 7312
0.81 7326
0.79 7329
0.95 7341
0.81 7343
0.79 7388
0.74 7400
0.76 7406
0.72 7418
0.75 7420
0.98 7702
0.79 7708
0.64 7722
0.7 7733
0.62 7745
0.6 7833
0.58 7781
0.62 7856
0.92 7868
0.8 7872
1.18 8191
0.8 8204
0.72 8386
0.71 8389
1.26 8401
1.37 8405
1.13 8415
1.16 8422
1.5 9054
1.23 1136
1.31 1181
0.83 3284
1.01 3845
0.76 3349
0.78 3353
1.16 4686
0.68 4981
0.81 7326
0.84 4984
0.9 4679
0.73 7070
0.73 5004
0.82 5560
0.59 5572
0.66 6351
0.67 6352
0.69 6363
0.7 6378
0.71 7747
0.68 7779
0.58 7781
0.6 7833
0.62 7856
0.92 7868
0.8 7872
1.18 8191
0.8 8204
0.88 8207
0.91 8463
0.72 8386
0.71 8389
1.26 8401
1.37 8405
1.13 8415
1.16 8422
1.5 9054
