Concentration,S,Ag,Cr,Fe_Ka,Fe_Kb,Ar_Kb,Ca_Ka,Ni_Ka,Ni_kb,Cu_Ka,Cu_Kb,Zn_Ka,Zn_Kb,Pb_La,Pb_Lb,Ti,Nkr,Kr
13.85,12.672849633374627,11.919509826899253,5.943014028861285,1313.8581042622293,263.032778652024,5.89279137509626,7.667325141460474,19.92165266012656,20.072320621421635,1407.6572806107074,210.5501054675729,823.7184852847624,146.34881307128268,88.84387451032913,115.99758931261927,7.951920179462283,1516.9250343188135,315.2308567984732
19.23,11.232386715028332,11.165527270296021,6.13435405418958,1163.2206194527555,241.2121617329968,5.4156150233172315,8.190281979708159,21.996757316930484,23.016363849098234,1813.6125829474986,268.3236665719491,913.1830110150936,152.0885219048256,86.28211342704799,121.21617329968075,7.5551172547512,1467.7319604860681,305.213365203002
18.54,12.776191191943484,13.143611069358851,5.37769093307948,1006.8640713462598,203.19989311421747,6.4966514688444645,7.882826460911535,23.3979658299514,20.892830302119343,1524.358267782287,226.41414900546118,715.0157823538253,125.75780349716919,79.16228267949296,115.40324331546336,6.3296424336556605,1729.3284566695058,351.77113081817726
19.6,12.848180677540778,13.065662902551233,5.88874947720619,1018.6198243412798,206.22333751568382,6.407360936846508,7.595148473442075,21.66457549142618,22.03262233375157,1582.0660811375994,232.32120451693854,866.0142199916353,150.17984107068173,95.4077791718946,136.02676704307822,6.691760769552489,1677.2898368883314,340.8113759933083
16.48,12.688488414858405,12.253836637801331,6.118559630880338,1162.4260256110201,237.40345715336522,5.433147213213414,8.676318165100806,21.649001972650375,21.247784947674614,1451.5530442341772,217.09184526396737,915.326490354074,159.58407168410847,99.00030091276874,133.43809555652146,7.65655822662075,1577.9865592296633,326.20615868133336
17.01,15.23580413972836,14.049683422710034,6.13107469219332,723.0658714646084,148.64932591590235,7.166842078885381,8.403080572679128,24.74147580146678,18.710636662824303,1223.458460716016,183.28070966771912,672.3132695166976,120.08219315391169,81.74209392071367,135.23446766568102,5.512955445296447,2071.735244491221,405.8537563273693
16.78,6.653849368887403,7.489760093622001,9.713282621416033,3337.7915238652513,646.510072724233,3.5108250438853132,8.643316893755747,12.722561230460588,14.310791607456324,169.53941319067124,29.791858229541088,965.1090863495779,181.84401905876453,95.77865084009028,87.31923430577615,14.511410181392629,744.044136086266,188.9994148624927
16.32,11.638795986622075,12.073578595317727,6.722408026755853,1504.2809364548496,302.2909698996656,5.48494983277592,7.575250836120402,20.668896321070235,21.003344481605353,1643.5117056856188,240.90301003344482,999.6321070234114,164.94983277591973,94.24749163879599,119.18060200668897,8.511705685618729,1298.4615384615386,280.0
15.91,12.019391507856904,12.286860581745236,6.034770979605483,991.4911400869274,205.46639919759278,5.9679037111334,8.27482447342026,24.439986626546304,23.85489802741558,1336.5931126713474,198.26145101972585,1185.2724841190238,199.81611501170178,108.74289535272484,148.61250417920428,6.736877298562353,1667.82012704781,341.74189234369777
16.23,11.01785594863907,10.599879622818165,6.3699592055106,1513.3083662141378,305.2731893265566,5.233063599277737,7.155754698053903,21.550859359325887,22.73791212465726,1679.0443389286431,249.28108071958806,1193.6233531732762,193.7236674914733,103.60797164448606,131.79629505784794,8.459840834615127,1307.8144853875476,280.930248110747
18.01,10.404315369328145,10.92202608593998,5.761619265518797,1576.5460345029144,313.3652866614339,5.1938075118154945,7.247950032565674,20.374421750530235,25.33442442258555,1955.6438818283539,285.3588069273034,1374.0710432705957,217.80590858230767,97.63022094557358,126.18781208771021,8.550576996943837,1157.2671554301176,256.3336061056464
15.32,14.996819870786329,13.507180397014025,5.389482141063836,938.0544304221203,190.0378268001205,6.946071703545007,8.26833595554514,24.1857195460784,21.206440598533792,1172.8818665684732,174.72299400796706,922.6893850634352,163.14062866133298,84.39058681752753,134.25166538345664,7.331034713620995,1835.855120008034,373.4475948180631
16.86,8.479962534287818,9.918378269886935,5.603131063089584,1799.943132401151,358.2324212216499,5.686759884926741,7.593497022813943,19.669498896099554,23.064829062688165,1939.3022011105909,284.2543654244999,1158.928213019335,189.35237840369305,99.91971633103634,122.76711045694789,9.399879574496556,1055.144845119422,236.10088981066437
16.01,11.03892850582007,11.189231617094475,6.078925833764759,1459.3764090916682,288.9660815978891,5.110305783329715,6.830441390136776,20.591526244593265,22.628968419646288,1665.408573957481,246.14639523038127,1060.822659029042,176.20534745069224,97.44651714290487,126.48841831025902,8.600678034035305,1316.7721571836537,283.60527062910205
20.99,9.546579281749482,10.850665418310708,6.319802046412091,1519.0597204574333,304.7381796295058,4.99899685681803,7.506854811743463,19.644887313582558,23.958402996054303,2244.6666220825255,329.0978398983482,1062.3286297064135,170.16652176820705,106.5338059252324,130.87674714104193,7.958269243630041,1155.2865645689828,256.737778372233
14.71,11.601740261039156,11.985131102998784,6.817689320064677,1341.2845260122351,268.140221033155,5.6675167941857945,8.467936857195246,21.519894650864295,25.070427230751278,1568.7853177976697,229.43441516227435,1234.8352252837926,210.1315197279592,74.87789835141938,108.23290160190696,8.301245186778017,1423.896917871014,305.62917770998985
